Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.223659378,-1.878963947,9.690333366,-2.183450699,10.10942744
0.226166253,-1.878963947,9.699904442,-2.226521492,10.12798349
0.228673024,-1.92203474,9.728618622,-2.14995122,10.14704529
0.231179742,-1.92203474,9.738189697,-2.193022013,10.16542678
0.233686357,-1.955534339,9.747760773,-2.173879385,10.17687114
0.236192867,-1.998605132,9.709476471,-2.188236237,10.15168625
0.23869969,-2.070389748,9.70468998,-2.24566412,10.17401242
0.241206617,-2.113460541,9.671191216,-2.240878344,10.14988624
0.243713336,-2.16131711,9.661619186,-2.240878344,10.15084788
0.246220055,-2.16131711,9.608977318,-2.236092806,10.09969543
0.248726982,-2.223530531,9.618548393,-2.221735716,10.11912401
0.251233805,-2.24267292,9.580264091,-2.164308071,10.07448616
0.253740784,-2.25703001,9.589835167,-2.207378864,10.09612027
0.256247659,-2.223530531,9.537193298,-2.14995122,10.02618742
0.258754742,-2.271386862,9.513264656,-2.14995122,10.0141746
0.261261669,-2.25703001,9.489336014,-2.10209465,9.978000018
0.263768388,-2.266601324,9.522835732,-2.13559413,10.01911394
0.266275055,-2.25703001,9.508479118,-2.092523336,9.994198994
0.268781617,-2.228316069,9.489336014,-2.169093609,9.985882914
0.271288388,-2.24267292,9.494122505,-2.073380709,9.973306951
0.273794899,-2.233101845,9.503693581,-2.19780755,10.00686232
0.276301826,-2.213959217,9.498908043,-2.068595171,9.970454122
0.278808753,-2.190030813,9.498908043,-2.13559413,9.97929112
0.281315524,-2.16131711,9.532406807,-2.039881229,9.984948003
0.283822347,-2.170888424,9.503693581,-2.13559413,9.97966485
0.286329274,-2.151745796,9.494122505,-1.987239242,9.935667663
0.28883594,-2.099103689,9.513264656,-2.087737799,9.9632871
0.291342607,-2.075175524,9.518050194,-1.972882271,9.939411321
0.29384943,-2.113460541,9.522835732,-2.13559413,9.985583514
0.296356201,-2.079961061,9.522835732,-2.015953064,9.953627738
0.298863024,-2.056032896,9.537193298,-2.188236237,9.998685169
0.301369794,-2.046461582,9.513264656,-2.078166485,9.950325892
0.303876461,-2.027318954,9.537193298,-2.183450699,9.991773371
0.306383232,-2.032104731,9.546764374,-2.049452543,9.973485618
0.308890055,-1.974676847,9.546764374,-2.188236237,9.991418142
0.311396826,-1.993819475,9.522835732,-2.011167526,9.935014408
0.313903649,-2.003390789,9.527621269,-2.154736757,9.971561171
0.316410628,-1.965105653,9.508479118,-1.939382792,9.901213107
0.318917399,-1.960319996,9.470193863,-2.059023857,9.887719936
0.321424065,-1.993819475,9.474979401,-1.858026743,9.859148752
0.323930992,-2.022533417,9.446265221,-2.001596212,9.865543849
0.326438076,-2.012962103,9.417551994,-1.853241086,9.806977338
0.328944847,-2.060818434,9.369695663,-2.015953064,9.803174802
0.331451513,-2.06560421,9.369695663,-1.853241086,9.772022314
0.333958024,-2.123031855,9.369695663,-2.00638175,9.814480567
0.336464534,-2.113460541,9.360123634,-1.829312921,9.768572857
0.338971044,-2.127817631,9.336195946,-1.972882271,9.776728853
0.341477607,-2.108675003,9.321838379,-1.771885157,9.720224176
0.343984378,-2.123031855,9.302696228,-1.948953986,9.738883047
0.34649068,-2.094317913,9.321838379,-1.791027784,9.720628519
0.348997294,-2.137388945,9.32662487,-1.953739643,9.76583133
0.351503805,-2.132603168,9.307481766,-1.819741607,9.720528412
0.354010576,-2.108675003,9.336195946,-1.996810555,9.777439205
0.35651719,-2.14696002,9.364909172,-1.886740685,9.791361067
0.359023701,-2.151745796,9.374481201,-2.059023857,9.836182542
0.361530315,-2.151745796,9.431908607,-1.901097536,9.859263755
0.364036982,-2.16131711,9.422337532,-2.030309916,9.877949917
0.36654344,-2.204387903,9.460622787,-1.905883193,9.899247461
0.369050003,-2.156531334,9.484550476,-2.02073884,9.934319835
0.371556565,-2.185245275,9.479764938,-1.896311998,9.911470093
0.374063024,-2.233101845,9.527621269,-2.025524378,9.993250718
0.37656943,-2.209173441,9.508479118,-1.963310957,9.957219107
0.379075992,-2.285743713,9.518050194,-2.087737799,10.00882375
0.381582659,-2.309672117,9.537193298,-2.02073884,10.0187837
0.384089222,-2.347957134,9.541978836,-2.159522533,10.06110334
0.386595836,-2.391027927,9.551549911,-2.10209465,10.06816379
0.389102294,-2.434098721,9.565906525,-2.193022013,10.1114168
0.391609013,-2.462812662,9.565906525,-2.097309113,10.09805523
0.394115576,-2.477169752,9.556335449,-2.183450699,10.11075537
0.396621982,-2.48195529,9.585049629,-2.078166485,10.11691921
0.399128544,-2.510669231,9.551549911,-2.145165443,10.10630004
0.401635367,-2.477169752,9.556335449,-2.078166485,10.08854267
0.404142034,-2.424527645,9.522835732,-2.092523336,10.04695917
0.406648492,-2.414956331,9.522835732,-1.996810555,10.02515171
0.409155159,-2.38624239,9.513264656,-2.092523336,10.02870934
0.411661878,-2.300100803,9.508479118,-2.039881229,9.993135358
0.41416844,-2.247458696,9.494122505,-2.054238319,9.970422649
0.416674951,-2.223530531,9.489336014,-2.039881229,9.95754495
0.419181357,-2.194816589,9.513264656,-2.130808592,9.992986017
0.421687815,-2.151745796,9.532406807,-2.10209465,9.99577868
0.424194326,-2.180459738,9.522835732,-2.097309113,9.991872225
0.426701097,-2.127817631,9.580264091,-2.126022816,10.04136649
0.429207972,-2.118246317,9.5754776,-2.111665964,10.03174321
0.431714638,-2.070389748,9.63290596,-2.145165443,10.08370595
0.43422094,-2.036890268,9.623334885,-2.10209465,10.05864296
0.436727399,-2.022533417,9.656833649,-2.10209465,10.08780846
0.439233597,-2.032104731,9.666405678,-2.10209465,10.09889352
0.441739899,-2.017747641,9.661619186,-2.10209465,10.09143165
0.444246357,-1.993819475,9.628120422,-2.059023857,10.0456756
0.446752815,-1.984248161,9.666405678,-2.140379906,10.09741876
0.449259117,-1.974676847,9.652048111,-2.082952023,10.0697602
0.451765472,-1.907677889,9.652048111,-2.145165443,10.06990578
0.454271826,-1.945963025,9.642477036,-2.10209465,10.05897298
0.456778232,-1.936391711,9.685547829,-2.140379906,10.10646703
0.459284742,-1.945963025,9.70468998,-2.068595171,10.11171922
0.461791305,-1.898106575,9.690333366,-2.11645174,10.09874929
0.464297867,-1.931606054,9.719047546,-2.054238319,10.1198262
0.466804378,-1.941177368,9.747760773,-2.126022816,10.16400426
0.469310836,-1.989033818,9.776474953,-2.011167526,10.1774512
0.471817451,-1.993819475,9.814760208,-2.082952023,10.22954169
0.474324065,-2.032104731,9.80997467,-1.968096614,10.20972365
0.47683068,-2.099103689,9.848259926,-2.097309113,10.28558046
0.479337451,-2.142174482,9.833903313,-1.963310957,10.25422624
0.481844013,-2.132603168,9.857831001,-2.063809633,10.29485981
0.484350628,-2.199602127,9.829116821,-1.905883193,10.25095985
0.486857034,-2.185245275,9.824331284,-2.015953064,10.26434844
0.489363597,-2.228316069,9.79083252,-1.853241086,10.21079314
0.491870419,-2.237887383,9.738189697,-1.987239242,10.18771801
0.49437719,-2.237887383,9.685547829,-1.743171334,10.09240422
0.496883909,-2.276172638,9.652048111,-1.896311998,10.09648423
0.499390472,-2.261815548,9.666405678,-1.704886079,10.07282705
0.501896982,-2.271386862,9.637691498,-1.81495595,10.06669562
0.504403336,-2.266601324,9.613762856,-1.627717614,10.01056354
0.506909951,-2.271386862,9.656833649,-1.805384636,10.08330541
0.509416669,-2.295315027,9.642477036,-1.66600275,10.05094024
0.511923388,-2.247458696,9.63290596,-1.8628124,10.06548647
0.514429899,-2.237887383,9.661619186,-1.656431437,10.05478942
0.516936201,-2.218744755,9.690333366,-1.867598057,10.11500428
0.519442659,-2.209173441,9.714262009,-1.68574357,10.10391335
0.521949117,-2.170888424,9.752547264,-1.925025821,10.17500168
0.524455576,-2.180459738,9.723833084,-1.71924305,10.11252348
0.526962086,-2.108675003,9.714262009,-1.915454507,10.12335728
0.529468701,-2.103889227,9.771689415,-1.71924305,10.14238929
0.531975263,-2.060818434,9.776474953,-1.929811478,10.17598189
0.534481774,-2.036890268,9.766903877,-1.786242127,10.13567927
0.536988336,-1.998605132,9.723833084,-1.972882271,10.12124581
0.539494899,-2.003390789,9.714262009,-1.834098577,10.08684186
0.542001617,-1.979462504,9.709476471,-2.015953064,10.11218433
0.544508388,-1.931606054,9.656833649,-1.834098577,10.01745754
0.547014899,-1.945963025,9.613762856,-2.025524378,10.01568557
0.549521617,-1.912463546,9.589835167,-1.843669891,9.950958447
0.552028388,-1.926820397,9.537193298,-2.00638175,9.934599166
0.554535055,-1.888535261,9.527621269,-1.829312921,9.883750212
0.557041617,-1.898106575,9.508479118,-1.982453585,9.896671457
0.559548492,-1.950748682,9.518050194,-1.886740685,9.897398159
0.562055315,-1.993819475,9.508479118,-1.948953986,9.908830046
0.564562086,-2.012962103,9.508479118,-1.853241086,9.894326359
0.567068909,-2.027318954,9.474979401,-2.015953064,9.896935058
0.569575628,-2.079961061,9.541978836,-1.915454507,9.952113549
0.572082138,-2.118246317,9.522835732,-2.030309916,9.9646137
0.574588857,-2.14696002,9.541978836,-1.877169371,9.959044245
0.57709568,-2.16131711,9.580264091,-1.968096614,10.01629452
