Time (s);Gyroscope x (rad/s);Gyroscope y (rad/s);Gyroscope z (rad/s)
1,146187261;-0,599880099;1,096158862;0,938321531
1,156187261;-0,494870275;0,998164892;0,766303539
1,166187261;-0,368893832;0,927095115;0,619036853
1,176187261;-0,175852776;0,926724672;0,541390955
1,186187261;0,095855147;0,980731726;0,525647342
1,196187261;0,38807404;1,032265663;0,522397041
1,206187261;0,594237566;1,019005895;0,466685534
1,216187261;0,608790934;0,898467541;0,305207253
1,226187261;0,393200159;0,65359652;0,000180985
1,236187261;0,020543963;0,281260759;-0,481644511
1,246187261;-0,334887773;-0,220582768;-1,174197555
1,256187261;-0,497721314;-0,847943842;-2,098783493
1,266187261;-0,40511325;-1,537802339;-3,203466654
1,276187261;-0,105572991;-2,128611803;-4,302407265
1,286187261;0,28289175;-2,404047012;-5,066604137
1,296187261;0,582336187;-2,221961021;-5,136703968
1,306187261;0,611880481;-1,64042747;-4,375180244
1,316187261;0,304335326;-0,894152582;-3,025864601
1,326187261;-0,20664157;-0,231329039;-1,573855758
1,336187261;-0,671445906;0,205439627;-0,453899443
1,346187261;-0,882852733;0,39771843;0,132845342
1,356187261;-0,772705078;0,422827482;0,243402883
1,366187261;-0,430253178;0,389108837;0,086640865
1,376187261;-0,035483766;0,364204198;-0,136788696
1,386187261;0,251500398;0,329406053;-0,354291528
1,396187261;0,381767213;0,216454178;-0,622183859
1,406187261;0,396043777;-0,014484148;-1,012229562
1,416187261;0,349613577;-0,337966651;-1,517602324
1,426187261;0,275240332;-0,672808647;-2,03237772
1,436187261;0,177834034;-0,926659703;-2,395241499
1,446187261;0,057897203;-1,03510499;-2,474308729
1,456187261;-0,06425298;-0,97997582;-2,243980408
1,466187261;-0,160923615;-0,792789102;-1,790138483
1,476187261;-0,236542478;-0,544233501;-1,228949904
1,486187261;-0,313188702;-0,317773998;-0,660156727
1,496187261;-0,398632914;-0,156001881;-0,136580035
1,506187261;-0,490949273;-0,046260912;0,341151983
